[22-Sep-2017 20:38:50 PRC] PHP Notice:  Undefined variable: name in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 28
[22-Sep-2017 20:39:40 PRC] PHP Notice:  Undefined variable: name in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 28
[22-Sep-2017 21:18:10 PRC] PHP Fatal error:  Class 'vendor\app\controlles\index' not found in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:19:39 PRC] PHP Fatal error:  Class 'library\db\db' not found in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 80
[22-Sep-2017 21:19:46 PRC] PHP Fatal error:  Class 'library\db\db' not found in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 80
[22-Sep-2017 21:24:51 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:25:20 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:25:21 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:25:46 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:26:15 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:27:35 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:27:35 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:30:47 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 36
[22-Sep-2017 21:32:00 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:32:00 PRC] PHP Notice:  Undefined variable: VENDOR in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 93
[22-Sep-2017 21:32:01 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:32:01 PRC] PHP Notice:  Undefined variable: VENDOR in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 93
[22-Sep-2017 21:32:09 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:32:09 PRC] PHP Notice:  Undefined variable: VENDOR in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 93
[22-Sep-2017 21:32:17 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:32:17 PRC] PHP Notice:  Undefined variable: VENDOR in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 93
[22-Sep-2017 21:33:16 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:33:16 PRC] PHP Notice:  Undefined variable: VENDOR in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 93
[22-Sep-2017 21:33:25 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:33:25 PRC] PHP Fatal error:  Class 'vendor\library\db' not found in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 32
[22-Sep-2017 21:35:42 PRC] PHP Notice:  Use of undefined constant CONTROLLER - assumed 'CONTROLLER' in D:\phpStudy\WWW\12\mvc\vendor\Application.php on line 31
[22-Sep-2017 21:37:43 PRC] PHP Fatal error:  Class 'library\db\db' not found in D:\phpStudy\WWW\12\mvc\app\controllers\index.php on line 11
[22-Sep-2017 21:37:59 PRC] PHP Fatal error:  Class 'library\db' not found in D:\phpStudy\WWW\12\mvc\app\controllers\index.php on line 11
[22-Sep-2017 21:38:09 PRC] PHP Fatal error:  Class 'library\db\db' not found in D:\phpStudy\WWW\12\mvc\app\controllers\index.php on line 11
[22-Sep-2017 21:39:28 PRC] PHP Fatal error:  Class 'library\db\db' not found in D:\phpStudy\WWW\12\mvc\app\controllers\index.php on line 11
